period,channel,studio,xlsx_file,paired_pdf_present,line_count,declared_total_eur,computed_total_eur,difference_eur,validation,parser_family,notes
2026-03,Canal Orange,VISION FILMS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/canal-orange/report_VISION FILMS NMG_CanalPlay_2026_03.xlsx,yes,6,37.22,37.220,0.000,passed,xlsx_hpg_canal,
2026-03,Netgem,CRAVE,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/netgem - Please Process/report_CRAVE NMG_Netgem_2026_03.xlsx,yes,1,1.915,1.915,0.000,passed,xlsx_hpg_netgem,
2026-03,Netgem,FILTHY KINGS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/netgem - Please Process/report_FILTHY KINGS NMG_Netgem_2026_03.xlsx,yes,6,87.37,87.370,0.000,passed,xlsx_hpg_netgem,
2026-03,Netgem,GROOBY,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/netgem - Please Process/report_GROOBY NMG_Netgem_2026_03.xlsx,yes,5,40.72,40.72,0.00,passed,xlsx_hpg_netgem,
2026-03,Netgem,MATURE XXX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/netgem - Please Process/report_MATURE XXX NMG_Netgem_2026_03.xlsx,yes,5,65.265,65.265,0.000,passed,xlsx_hpg_netgem,
2026-03,Netgem,MYLF,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/netgem - Please Process/report_MYLF NMG_Netgem_2026_03.xlsx,yes,3,37.78,37.780,0.000,passed,xlsx_hpg_netgem,
2026-03,Netgem,NUBILE FILMS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/netgem - Please Process/report_NUBILE FILMS NMG_Netgem_2026_03.xlsx,yes,2,9.05,9.05,0.00,passed,xlsx_hpg_netgem,
2026-03,Netgem,PORN PRO,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/netgem - Please Process/report_PORN PRO NMG_Netgem_2026_03.xlsx,yes,3,42.11,42.11,0.00,passed,xlsx_hpg_netgem,
2026-03,Netgem,TRUEX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/netgem - Please Process/report_TRUEX NMG_Netgem_2026_03.xlsx,yes,2,3.305,3.305,0.000,passed,xlsx_hpg_netgem,
2026-03,Proximus,CRAVE,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/proximus - Please Process/report_CRAVE NMG_Proximus_2026_03.xlsx,yes,2,9.005,9.005,0.000,passed,xlsx_hpg_proximus,
2026-03,Proximus,FILTHY KINGS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/proximus - Please Process/report_FILTHY KINGS NMG_Proximus_2026_03.xlsx,yes,12,96.73,96.730,0.000,passed,xlsx_hpg_proximus,
2026-03,Proximus,GROOBY,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/proximus - Please Process/report_GROOBY NMG_Proximus_2026_03.xlsx,yes,7,43.955,43.955,0.000,passed,xlsx_hpg_proximus,
2026-03,Proximus,MATURE XXX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/proximus - Please Process/report_MATURE XXX NMG_Proximus_2026_03.xlsx,yes,11,232.735,232.735,0.000,passed,xlsx_hpg_proximus,
2026-03,Proximus,MYLF,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/proximus - Please Process/report_MYLF NMG_Proximus_2026_03.xlsx,yes,16,164.245,164.245,0.000,passed,xlsx_hpg_proximus,
2026-03,Proximus,NUBILE FILMS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/proximus - Please Process/report_NUBILE FILMS NMG_Proximus_2026_03.xlsx,yes,12,61.435,61.435,0.000,passed,xlsx_hpg_proximus,
2026-03,Proximus,PORNSTAR PLATINIUM,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/proximus - Please Process/report_PORNSTAR PLATINIUM NMG_Proximus_2026_03.xlsx,yes,7,26.66,26.66,0.00,passed,xlsx_hpg_proximus,
2026-03,Proximus,PURE PASSION,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/proximus - Please Process/report_PURE PASSION NMG_Proximus_2026_03.xlsx,yes,11,40.955,40.955,0.000,passed,xlsx_hpg_proximus,
2026-03,Proximus,RAW ATTACK,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/proximus - Please Process/report_RAW ATTACK NMG_Proximus_2026_03.xlsx,yes,11,43.065,43.065,0.000,passed,xlsx_hpg_proximus,
2026-03,Proximus,TEAM SKEET,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/proximus - Please Process/report_TEAM SKEET NMG_Proximus_2026_03.xlsx,yes,11,58.42,58.420,0.000,passed,xlsx_hpg_proximus,
2026-03,Proximus,TRUEX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/proximus - Please Process/report_TRUEX NMG_Proximus_2026_03.xlsx,yes,6,87.55,87.550,0.000,passed,xlsx_hpg_proximus,
2026-03,Proximus,VISION FILMS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./03-2026/proximus - Please Process/report_VISION FILMS NMG_Proximus_2026_03.xlsx,yes,4,24.54,24.54,0.00,passed,xlsx_hpg_proximus,
